a,b,c,y,ds
2015,1,1,3.02,01-01-2015
2015,1,2,0.06,02-01-2015
2015,1,3,0,03-01-2015
2015,1,4,0,04-01-2015
2015,1,5,0,05-01-2015
2015,1,6,0,06-01-2015
2015,1,7,0,07-01-2015
2015,1,8,0,08-01-2015
2015,1,9,0,09-01-2015
2015,1,10,0,10-01-2015
2015,1,11,0,11-01-2015
2015,1,12,0,12-01-2015
2015,1,13,0,13-01-2015
2015,1,14,0,14-01-2015
2015,1,15,0,15-01-2015
2015,1,16,0.31,16-01-2015
2015,1,17,0.22,17-01-2015
2015,1,18,0,18-01-2015
2015,1,19,0,19-01-2015
2015,1,20,0,20-01-2015
2015,1,21,0,21-01-2015
2015,1,22,0.01,22-01-2015
2015,1,23,2.84,23-01-2015
2015,1,24,0.31,24-01-2015
2015,1,25,0.02,25-01-2015
2015,1,26,0,26-01-2015
2015,1,27,0,27-01-2015
2015,1,28,0,28-01-2015
2015,1,29,0,29-01-2015
2015,1,30,0,30-01-2015
2015,1,31,0,31-01-2015
2015,2,1,0,01-02-2015
2015,2,2,0,02-02-2015
2015,2,3,0.01,03-02-2015
2015,2,4,0.14,04-02-2015
2015,2,5,0.05,05-02-2015
2015,2,6,0,06-02-2015
2015,2,7,0,07-02-2015
2015,2,8,0,08-02-2015
2015,2,9,0,09-02-2015
2015,2,10,0,10-02-2015
2015,2,11,0,11-02-2015
2015,2,12,0,12-02-2015
2015,2,13,0,13-02-2015
2015,2,14,0,14-02-2015
2015,2,15,0,15-02-2015
2015,2,16,0,16-02-2015
2015,2,17,0,17-02-2015
2015,2,18,0,18-02-2015
2015,2,19,0,19-02-2015
2015,2,20,0,20-02-2015
2015,2,21,0,21-02-2015
2015,2,22,0,22-02-2015
2015,2,23,0,23-02-2015
2015,2,24,0,24-02-2015
2015,2,25,0,25-02-2015
2015,2,26,0.28,26-02-2015
2015,2,27,0.26,27-02-2015
2015,2,28,0.04,28-02-2015
2015,3,1,0.01,01-03-2015
2015,3,2,0.03,02-03-2015
2015,3,3,0.14,03-03-2015
2015,3,4,0.09,04-03-2015
2015,3,5,0.14,05-03-2015
2015,3,6,0.22,06-03-2015
2015,3,7,0.88,07-03-2015
2015,3,8,0,08-03-2015
2015,3,9,0,09-03-2015
2015,3,10,0,10-03-2015
2015,3,11,0,11-03-2015
2015,3,12,0,12-03-2015
2015,3,13,0.01,13-03-2015
2015,3,14,1.35,14-03-2015
2015,3,15,1.01,15-03-2015
2015,3,16,0.81,16-03-2015
2015,3,17,0.48,17-03-2015
2015,3,18,0,18-03-2015
2015,3,19,0,19-03-2015
2015,3,20,0,20-03-2015
2015,3,21,0,21-03-2015
2015,3,22,0,22-03-2015
2015,3,23,0,23-03-2015
2015,3,24,0,24-03-2015
2015,3,25,0,25-03-2015
2015,3,26,0,26-03-2015
2015,3,27,0,27-03-2015
2015,3,28,0.02,28-03-2015
2015,3,29,0.04,29-03-2015
2015,3,30,0.01,30-03-2015
2015,3,31,0.14,31-03-2015
2015,4,1,1.44,01-04-2015
2015,4,2,0.39,02-04-2015
2015,4,3,0.77,03-04-2015
2015,4,4,0.48,04-04-2015
2015,4,5,0,05-04-2015
2015,4,6,0,06-04-2015
2015,4,7,0,07-04-2015
2015,4,8,0.02,08-04-2015
2015,4,9,0.19,09-04-2015
2015,4,10,0.99,10-04-2015
2015,4,11,1.85,11-04-2015
2015,4,12,4.53,12-04-2015
2015,4,13,12.75,13-04-2015
2015,4,14,4.89,14-04-2015
2015,4,15,10.92,15-04-2015
2015,4,16,14.1,16-04-2015
2015,4,17,16.2,17-04-2015
2015,4,18,7.84,18-04-2015
2015,4,19,0.02,19-04-2015
2015,4,20,0.23,20-04-2015
2015,4,21,0.45,21-04-2015
2015,4,22,0.18,22-04-2015
2015,4,23,2.21,23-04-2015
2015,4,24,14.56,24-04-2015
2015,4,25,11.06,25-04-2015
2015,4,26,2.83,26-04-2015
2015,4,27,1.44,27-04-2015
2015,4,28,0.07,28-04-2015
2015,4,29,0.32,29-04-2015
2015,4,30,0.47,30-04-2015
2015,5,1,0.05,01-05-2015
2015,5,2,0.09,02-05-2015
2015,5,3,0.05,03-05-2015
2015,5,4,1.66,04-05-2015
2015,5,5,1.25,05-05-2015
2015,5,6,1.23,06-05-2015
2015,5,7,2.42,07-05-2015
2015,5,8,2.7,08-05-2015
2015,5,9,3.06,09-05-2015
2015,5,10,1.74,10-05-2015
2015,5,11,6.57,11-05-2015
2015,5,12,7.68,12-05-2015
2015,5,13,23.51,13-05-2015
2015,5,14,21.83,14-05-2015
2015,5,15,13.26,15-05-2015
2015,5,16,12.75,16-05-2015
2015,5,17,3.43,17-05-2015
2015,5,18,0.8,18-05-2015
2015,5,19,0.05,19-05-2015
2015,5,20,0.01,20-05-2015
2015,5,21,0,21-05-2015
2015,5,22,0,22-05-2015
2015,5,23,0,23-05-2015
2015,5,24,0.02,24-05-2015
2015,5,25,0,25-05-2015
2015,5,26,0.01,26-05-2015
2015,5,27,13.82,27-05-2015
2015,5,28,8.69,28-05-2015
2015,5,29,1.7,29-05-2015
2015,5,30,1.3,30-05-2015
2015,5,31,3.08,31-05-2015
2015,6,1,2.44,01-06-2015
2015,6,2,2.83,02-06-2015
2015,6,3,0.52,03-06-2015
2015,6,4,7.9,04-06-2015
2015,6,5,31.94,05-06-2015
2015,6,6,1.03,06-06-2015
2015,6,7,0,07-06-2015
2015,6,8,0.45,08-06-2015
2015,6,9,0.62,09-06-2015
2015,6,10,2.14,10-06-2015
2015,6,11,8.34,11-06-2015
2015,6,12,0.13,12-06-2015
2015,6,13,11.38,13-06-2015
2015,6,14,0.16,14-06-2015
2015,6,15,0.01,15-06-2015
2015,6,16,0.75,16-06-2015
2015,6,17,0.71,17-06-2015
2015,6,18,1.33,18-06-2015
2015,6,19,3.16,19-06-2015
2015,6,20,0.16,20-06-2015
2015,6,21,0.31,21-06-2015
2015,6,22,0,22-06-2015
2015,6,23,1.17,23-06-2015
2015,6,24,0.06,24-06-2015
2015,6,25,0.02,25-06-2015
2015,6,26,0.08,26-06-2015
2015,6,27,0.15,27-06-2015
2015,6,28,0.18,28-06-2015
2015,6,29,1.23,29-06-2015
2015,6,30,1.96,30-06-2015
2015,7,1,0.45,01-07-2015
2015,7,2,0,02-07-2015
2015,7,3,0.15,03-07-2015
2015,7,4,0.04,04-07-2015
2015,7,5,0,05-07-2015
2015,7,6,0,06-07-2015
2015,7,7,0,07-07-2015
2015,7,8,0.03,08-07-2015
2015,7,9,0.01,09-07-2015
2015,7,10,0.05,10-07-2015
2015,7,11,0.29,11-07-2015
2015,7,12,0.36,12-07-2015
2015,7,13,0.42,13-07-2015
2015,7,14,0.04,14-07-2015
2015,7,15,0,15-07-2015
