-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1995 through 02/28/2023 
Location: Latitude  10.793   Longitude 78.7445 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 163.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR
1995,1,1,0.0
1995,1,2,0.0
1995,1,3,0.0
1995,1,4,0.0
1995,1,5,0.12
1995,1,6,0.17
1995,1,7,0.13
1995,1,8,0.13
1995,1,9,5.78
1995,1,10,3.8
1995,1,11,0.17
1995,1,12,0.0
1995,1,13,0.25
1995,1,14,1.76
1995,1,15,3.35
1995,1,16,1.06
1995,1,17,0.28
1995,1,18,0.69
1995,1,19,1.17
1995,1,20,3.69
1995,1,21,0.39
1995,1,22,0.0
1995,1,23,0.0
1995,1,24,0.0
1995,1,25,0.0
1995,1,26,0.0
1995,1,27,0.0
1995,1,28,0.26
1995,1,29,0.06
1995,1,30,0.0
1995,1,31,0.02
1995,2,1,0.13
1995,2,2,0.04
1995,2,3,0.0
1995,2,4,0.04
1995,2,5,0.02
1995,2,6,0.0
1995,2,7,0.0
1995,2,8,0.0
1995,2,9,0.0
1995,2,10,0.0
1995,2,11,0.0
1995,2,12,0.0
1995,2,13,0.0
1995,2,14,0.0
1995,2,15,0.0
1995,2,16,0.0
1995,2,17,0.0
1995,2,18,0.0
1995,2,19,0.0
1995,2,20,0.0
1995,2,21,0.0
1995,2,22,0.0
1995,2,23,0.0
1995,2,24,0.0
1995,2,25,0.0
1995,2,26,0.0
1995,2,27,0.0
1995,2,28,0.0
1995,3,1,0.0
1995,3,2,0.0
1995,3,3,0.0
1995,3,4,0.0
1995,3,5,0.0
1995,3,6,0.0
1995,3,7,0.0
1995,3,8,0.0
1995,3,9,0.1
1995,3,10,0.13
1995,3,11,0.14
1995,3,12,0.7
1995,3,13,0.72
1995,3,14,0.2
1995,3,15,0.0
1995,3,16,0.0
1995,3,17,0.0
1995,3,18,0.0
1995,3,19,0.0
1995,3,20,0.0
1995,3,21,0.0
1995,3,22,0.0
1995,3,23,0.0
1995,3,24,0.0
1995,3,25,0.0
1995,3,26,0.64
1995,3,27,2.06
1995,3,28,0.47
1995,3,29,0.47
1995,3,30,0.36
1995,3,31,0.27
