a,b,c,y,ds
2015,1,1,3.38,01-01-2015
2015,1,2,0.01,02-01-2015
2015,1,3,0,03-01-2015
2015,1,4,0,04-01-2015
2015,1,5,0,05-01-2015
2015,1,6,0,06-01-2015
2015,1,7,0,07-01-2015
2015,1,8,0,08-01-2015
2015,1,9,0,09-01-2015
2015,1,10,0,10-01-2015
2015,1,11,0,11-01-2015
2015,1,12,0,12-01-2015
2015,1,13,0,13-01-2015
2015,1,14,0,14-01-2015
2015,1,15,0,15-01-2015
2015,1,16,0.01,16-01-2015
2015,1,17,0.01,17-01-2015
2015,1,18,0,18-01-2015
2015,1,19,0,19-01-2015
2015,1,20,0,20-01-2015
2015,1,21,0.01,21-01-2015
2015,1,22,0.05,22-01-2015
2015,1,23,0.77,23-01-2015
2015,1,24,0.21,24-01-2015
2015,1,25,0,25-01-2015
2015,1,26,0,26-01-2015
2015,1,27,0,27-01-2015
2015,1,28,0,28-01-2015
2015,1,29,0,29-01-2015
2015,1,30,0,30-01-2015
2015,1,31,0,31-01-2015
2015,2,1,0,01-02-2015
2015,2,2,0,02-02-2015
2015,2,3,0,03-02-2015
2015,2,4,0.18,04-02-2015
2015,2,5,0.1,05-02-2015
2015,2,6,0,06-02-2015
2015,2,7,0.02,07-02-2015
2015,2,8,0,08-02-2015
2015,2,9,0,09-02-2015
2015,2,10,0,10-02-2015
2015,2,11,0,11-02-2015
2015,2,12,0.01,12-02-2015
2015,2,13,0.01,13-02-2015
2015,2,14,0,14-02-2015
2015,2,15,0,15-02-2015
2015,2,16,0,16-02-2015
2015,2,17,0,17-02-2015
2015,2,18,0,18-02-2015
2015,2,19,0,19-02-2015
2015,2,20,0,20-02-2015
2015,2,21,0,21-02-2015
2015,2,22,0,22-02-2015
2015,2,23,0,23-02-2015
2015,2,24,0,24-02-2015
2015,2,25,0,25-02-2015
2015,2,26,0.37,26-02-2015
2015,2,27,0.84,27-02-2015
2015,2,28,0.12,28-02-2015
2015,3,1,0.03,01-03-2015
2015,3,2,0.09,02-03-2015
2015,3,3,0.27,03-03-2015
2015,3,4,0.21,04-03-2015
2015,3,5,0.01,05-03-2015
2015,3,6,1.3,06-03-2015
2015,3,7,2.25,07-03-2015
2015,3,8,0.32,08-03-2015
2015,3,9,0.03,09-03-2015
2015,3,10,0,10-03-2015
2015,3,11,0,11-03-2015
2015,3,12,0,12-03-2015
2015,3,13,0,13-03-2015
2015,3,14,2.05,14-03-2015
2015,3,15,1.78,15-03-2015
2015,3,16,3.01,16-03-2015
2015,3,17,1.79,17-03-2015
2015,3,18,0,18-03-2015
2015,3,19,0,19-03-2015
2015,3,20,0,20-03-2015
2015,3,21,0,21-03-2015
2015,3,22,0,22-03-2015
2015,3,23,0,23-03-2015
2015,3,24,0,24-03-2015
2015,3,25,0,25-03-2015
2015,3,26,0,26-03-2015
2015,3,27,0,27-03-2015
2015,3,28,0.02,28-03-2015
2015,3,29,0.06,29-03-2015
2015,3,30,0.01,30-03-2015
2015,3,31,0.13,31-03-2015
2015,4,1,9.05,01-04-2015
2015,4,2,1.33,02-04-2015
2015,4,3,0.29,03-04-2015
2015,4,4,0.33,04-04-2015
2015,4,5,0,05-04-2015
2015,4,6,0.04,06-04-2015
2015,4,7,0.16,07-04-2015
2015,4,8,0.19,08-04-2015
2015,4,9,0.25,09-04-2015
2015,4,10,0.75,10-04-2015
2015,4,11,1.04,11-04-2015
2015,4,12,3.78,12-04-2015
2015,4,13,7.19,13-04-2015
2015,4,14,2.73,14-04-2015
2015,4,15,18.24,15-04-2015
2015,4,16,17.67,16-04-2015
2015,4,17,16.72,17-04-2015
2015,4,18,7.76,18-04-2015
2015,4,19,0.04,19-04-2015
2015,4,20,0.56,20-04-2015
2015,4,21,1.43,21-04-2015
2015,4,22,0.96,22-04-2015
2015,4,23,3.35,23-04-2015
2015,4,24,5.85,24-04-2015
2015,4,25,9.12,25-04-2015
2015,4,26,2.32,26-04-2015
2015,4,27,0.28,27-04-2015
2015,4,28,0.02,28-04-2015
